,feature,importance,model,day_split,seed,lookback_days,lookforward_days_freezing,lookforward_days_predict
3,rcp3_range,0.0,nonweather_patient_active,0.7,0,5,2,3
7,rcp3_latest,0.0,nonweather_patient_active,0.7,0,5,2,3
8,daily_day_symp_max,0.0,nonweather_patient_active,0.7,0,5,2,3
9,daily_day_symp_min,0.0,nonweather_patient_active,0.7,0,5,2,3
10,daily_day_symp_mean,0.0,nonweather_patient_active,0.7,0,5,2,3
11,daily_day_symp_range,0.0,nonweather_patient_active,0.7,0,5,2,3
12,daily_day_symp_skew,0.0,nonweather_patient_active,0.7,0,5,2,3
14,daily_day_symp_median,0.0,nonweather_patient_active,0.7,0,5,2,3
15,daily_day_symp_latest,0.0,nonweather_patient_active,0.7,0,5,2,3
16,daily_night_symp_max,0.0,nonweather_patient_active,0.7,0,5,2,3
17,daily_night_symp_min,0.0,nonweather_patient_active,0.7,0,5,2,3
18,daily_night_symp_mean,0.0,nonweather_patient_active,0.7,0,5,2,3
19,daily_night_symp_range,0.0,nonweather_patient_active,0.7,0,5,2,3
32,daily_prev_inhaler_max,-0.0005405405405405461,nonweather_patient_active,0.7,0,5,2,3
39,daily_prev_inhaler_latest,-0.0027027027027027527,nonweather_patient_active,0.7,0,5,2,3
50,humidity_max,0.004999999999999993,weather_patient_passive,0.7,0,5,2,4
42,temperature_min_max,0.004230769230769227,weather_patient_passive,0.7,0,5,2,4
60,wind_speed_mean,0.003461538461538449,weather_patient_passive,0.7,0,5,2,4
65,wind_speed_latest,0.003076923076923066,weather_patient_passive,0.7,0,5,2,4
43,temperature_min_min,0.0026923076923076827,weather_patient_passive,0.7,0,5,2,4
46,temperature_min_skew,0.0023076923076923105,weather_patient_passive,0.7,0,5,2,4
4,grass_pollen_skew,0.001538461538461533,weather_patient_passive,0.7,0,5,2,4
40,temperature_max_median,0.001538461538461533,weather_patient_passive,0.7,0,5,2,4
18,weed_pollen_mean,0.0011538461538461498,weather_patient_passive,0.7,0,5,2,4
54,humidity_skew,0.0007692307692307665,weather_patient_passive,0.7,0,5,2,4
33,temperature_latest,0.0007692307692307665,weather_patient_passive,0.7,0,5,2,4
41,temperature_max_latest,0.00038461538461538326,weather_patient_passive,0.7,0,5,2,4
48,temperature_min_median,0.00038461538461538326,weather_patient_passive,0.7,0,5,2,4
32,temperature_median,0.0,weather_patient_passive,0.7,0,5,2,4
34,temperature_max_max,0.0,weather_patient_passive,0.7,0,5,2,4
66,aqi_max,0.0,weather_patient_passive,0.7,0,5,2,4
67,aqi_min,0.0,weather_patient_passive,0.7,0,5,2,4
36,temperature_max_mean,0.0,weather_patient_passive,0.7,0,5,2,4
73,aqi_latest,0.0,weather_patient_passive,0.7,0,5,2,4
1,grass_pollen_min,0.0,weather_patient_passive,0.7,0,5,2,4
39,temperature_max_gradient,0.0,weather_patient_passive,0.7,0,5,2,4
27,temperature_min,0.0,weather_patient_passive,0.7,0,5,2,4
63,wind_speed_gradient,0.0,weather_patient_passive,0.7,0,5,2,4
47,temperature_min_gradient,0.0,weather_patient_passive,0.7,0,5,2,4
49,temperature_min_latest,0.0,weather_patient_passive,0.7,0,5,2,4
69,aqi_range,0.0,weather_patient_passive,0.7,0,5,2,4
28,temperature_mean,0.0,weather_patient_passive,0.7,0,5,2,4
70,aqi_skew,0.0,weather_patient_passive,0.7,0,5,2,4
15,tree_pollen_latest,0.0,weather_patient_passive,0.7,0,5,2,4
3,grass_pollen_range,0.0,weather_patient_passive,0.7,0,5,2,4
5,grass_pollen_gradient,0.0,weather_patient_passive,0.7,0,5,2,4
6,grass_pollen_median,0.0,weather_patient_passive,0.7,0,5,2,4
7,grass_pollen_latest,0.0,weather_patient_passive,0.7,0,5,2,4
8,tree_pollen_max,0.0,weather_patient_passive,0.7,0,5,2,4
9,tree_pollen_min,0.0,weather_patient_passive,0.7,0,5,2,4
11,tree_pollen_range,0.0,weather_patient_passive,0.7,0,5,2,4
13,tree_pollen_gradient,0.0,weather_patient_passive,0.7,0,5,2,4
14,tree_pollen_median,0.0,weather_patient_passive,0.7,0,5,2,4
12,tree_pollen_skew,0.0,weather_patient_passive,0.7,0,5,2,4
16,weed_pollen_max,0.0,weather_patient_passive,0.7,0,5,2,4
71,aqi_gradient,0.0,weather_patient_passive,0.7,0,5,2,4
25,extreme_cold,0.0,weather_patient_passive,0.7,0,5,2,4
24,extreme_heat,0.0,weather_patient_passive,0.7,0,5,2,4
17,weed_pollen_min,0.0,weather_patient_passive,0.7,0,5,2,4
22,weed_pollen_median,0.0,weather_patient_passive,0.7,0,5,2,4
23,weed_pollen_latest,0.0,weather_patient_passive,0.7,0,5,2,4
72,aqi_median,0.0,weather_patient_passive,0.7,0,5,2,4
19,weed_pollen_range,0.0,weather_patient_passive,0.7,0,5,2,4
58,wind_speed_max,0.0,weather_patient_passive,0.7,0,5,2,4
2,grass_pollen_mean,-0.0007692307692307554,weather_patient_passive,0.7,0,5,2,4
